Configuracion,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30
1000-1,4.895675,3.544008,4.882682,4.348429,3.874759,4.54977,4.558123,4.518869,4.475893,4.375157,4.44104,4.486574,4.534959,4.458364,4.44561,4.424964,4.405927,4.434014,4.457507,4.548449,4.454075,4.393736,4.380511,4.524613,4.433263,4.304929,4.466288,4.377879,4.444042,4.449329
1000-2,2.219862,2.116584,2.165206,2.171408,2.158597,2.177241,2.119986,2.211342,2.301726,2.14151,2.069254,2.095806,2.173586,2.120024,2.133883,2.211637,2.26039,2.108886,2.132702,2.151631,2.142218,2.13936,2.385598,2.118608,2.160831,2.079191,2.107107,2.09261,2.072314,2.150036
1000-4,1.063269,1.015322,1.007491,1.004065,1.017159,1.0147,1.04487,1.026107,1.029957,1.01907,1.009003,1.005763,1.026499,1.026359,1.013974,1.010705,1.022954,1.016322,1.008773,1.00905,1.064425,1.031053,1.010489,1.012962,1.012917,1.023786,1.014882,1.00254,1.027648,1.004765
1000-8,1.017933,0.96037,1.032878,1.031654,0.9751,1.024966,1.02188,1.027311,1.014432,0.985175,0.95621,0.9846,1.022431,0.96256,1.021104,1.047453,1.013649,1.011638,1.016392,0.974027,0.969355,1.016404,1.026439,1.038225,1.045455,1.058814,0.993787,1.025821,1.042912,1.027564
1000-16,1.016655,0.967014,0.976216,1.054019,1.004761,1.060799,1.050977,1.050158,1.054721,0.993527,0.967265,1.043327,1.076541,1.06279,1.021318,1.045747,1.035364,0.976172,1.057653,1.069431,1.047171,1.043317,1.059864,0.956848,1.023162,1.037303,1.025758,1.061663,1.036047,1.031309
2000-1,48.892947,48.320069,50.712014,45.849341,47.088149,49.007171,47.878933,48.24662,47.050474,47.720657,46.982677,51.247662,48.448391,47.774984,45.823218,52.615127,46.74346,48.273949,51.66721,46.51422,45.016237,49.495935,49.1155,46.522632,48.11271,47.983281,47.184108,48.976375,51.5649,49.036373
2000-2,24.921109,26.027854,24.998351,24.124261,26.522389,23.025408,25.750421,25.876239,24.081175,23.834626,25.498155,25.887864,24.977038,26.548337,24.155694,23.338014,24.973732,25.072149,25.167857,25.130497,24.062511,22.523541,24.021353,23.884564,25.868425,26.004326,25.177475,25.289678,25.263002,25.126035
2000-4,12.615816,12.315232,12.453484,12.744252,12.107526,12.381531,12.565343,11.730083,12.333455,12.770208,12.646901,12.011872,11.764396,12.568385,12.795002,12.319965,12.16258,12.693324,12.900906,12.38356,12.823616,12.573542,12.737965,11.887287,12.36314,12.354934,12.073764,12.978706,11.58029,12.391376
2000-8,10.900333,11.645832,11.855089,11.132054,11.969806,11.916684,10.92035,11.84096,12.222705,11.056685,12.123046,11.597794,11.738605,11.294058,11.807159,11.365529,11.302934,11.314886,11.659459,11.621287,10.994833,11.308213,11.824875,11.305539,11.832618,11.611953,11.362556,12.002658,12.126085,11.700366
2000-16,11.546866,12.07663,12.009851,11.19186,11.494085,11.825036,11.223098,11.659629,11.357532,11.166707,10.757526,11.622568,11.651915,10.470928,11.882646,11.639362,11.62093,11.697395,11.007373,11.05061,11.501774,11.017885,11.676422,12.079645,10.996758,12.101214,12.222651,11.389467,10.504226,11.37229
4000-1,653.087538,641.841518,651.175363,650.650035,639.015948,646.945998,682.416485,649.881048,644.517794,626.036428,689.032146,697.534386,673.658391,676.431401,674.077683,666.877889,690.275632,656.469487,658.145138,665.469891,663.699318,665.26256,652.332502,668.125927,661.868529,675.064102,681.96462,655.004465,666.586782,666.572319
4000-2,336.291465,341.315959,331.825441,340.87986,330.294109,329.649273,327.635816,342.175317,339.137255,331.289074,327.746116,340.712781,327.723875,323.828159,327.691091,334.071472,325.152004,333.164654,330.374385,316.224136,330.813649,322.722867,330.773722,320.709584,318.390594,317.317229,324.547328,339.35475,329.084877,330.180984
4000-4,164.296949,163.720764,170.606042,166.700432,166.720184,165.367035,160.535227,160.238693,157.501682,159.597793,162.919408,159.877664,155.46178,158.646971,165.819254,162.061906,160.010666,156.94544,163.278783,154.458865,165.038137,158.119313,165.635842,159.778862,161.156656,162.054451,162.518941,163.002323,160.514696,160.620314
4000-8,155.354941,155.645412,158.804391,152.921978,158.738789,158.326951,156.248804,160.105065,160.222203,159.463163,162.605114,164.326638,166.030322,163.936848,160.050615,155.075155,162.789927,158.051408,159.816617,160.396886,161.231309,161.737589,160.711684,157.669652,160.519443,157.996142,157.377756,162.335456,158.714353,155.337444
4000-16,161.036542,159.73215,164.420769,162.708367,163.864817,158.748318,156.468745,163.839753,155.236646,161.939416,161.903145,162.268547,164.94416,162.411317,166.185929,164.396088,162.376376,159.394692,157.082262,154.272392,156.299509,164.451588,171.325759,173.386913,170.147796,161.981818,167.865589,165.572588,156.676678,157.99713
